Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF 6.3V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,150.5,-60.0,180.0,top
C10,0.1uF 10V,C_0402_1005Metric,134.0,-93.9,180.0,top
C11,0.1uF,C_0402_1005Metric,137.0,-90.48,90.0,top
C12,0.1uF 10V,C_0402_1005Metric,136.5,-97.5,0.0,top
C13,0.1uF 6.3V,C_0402_1005Metric,140.0,-92.5,180.0,top
C14,10uF 10V,C_0402_1005Metric,152.82,-68.93,180.0,top
C15,10uF 10V,C_0402_1005Metric,166.0,-60.23,0.0,top
C16,0.1uF 6.3V,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,143.5,-87.5,-90.0,top
C17,10uF 6.3V,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,141.5,-87.5,-90.0,top
C18,0.1uF 6.3V,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,106.0375,-54.0,180.0,top
C19,10uF 10V,C_0402_1005Metric,166.0,-62.2,0.0,top
C2,10uF 10V,C_0402_1005Metric,152.82,-64.99,180.0,top
C20,10uF 10V,C_0402_1005Metric,166.0,-64.17,0.0,top
C3,10uF 10V,C_0402_1005Metric,152.82,-66.96,180.0,top
C32,1uF 6.3V,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,111.55,-104.5,0.0,top
C33,0.1uF 6.3V,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,111.55,-106.0,0.0,top
C4,10uF 10V,C_0402_1005Metric,158.5,-66.48,-90.0,top
C5,10uF 6.3V,C_0402_1005Metric,155.5,-70.7,0.0,top
C6,100nF 10V,C_0402_1005Metric,160.0,-66.5,-90.0,top
C7,10uF 6.3V,C_0402_1005Metric,102.0,-70.5,90.0,top
C8,0.1uF 6.3V,C_0402_1005Metric,100.5,-70.5,90.0,top
C9,47uF,C_0805_2012Metric,133.3,-95.4,180.0,top
Card1,TF PUSH,TF-SMD_TF-PUSH,92.2125,-71.5,-90.0,top
D5,USBLC6-2SC6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,159.0,-62.15,180.0,top
J1,Conn_01x07,PinHeader_1x07_P2.54mm_Horizontal,198.5,-90.5,0.0,top
J2,Conn_01x03,PinHeader_1x03_P2.54mm_Horizontal,128.2,-69.915,-90.0,top
J5,Conn_01x05,PinHeader_1x05_P2.54mm_Vertical,123.72,-55.7,90.0,top
J6,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,139.895,-55.7,90.0,top
LED1,HL-PST-1608H233W(8000-12000K),LED-SMD_L1.6-W0.8-RD-WHITE-2,147.105,-70.6,0.0,top
LED10,WS2812B-B/W,LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B,110.0,-131.5,180.0,top
LED11,WS2812B-B/W,LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B,102.158796,-129.920396,157.5,top
LED12,WS2812B-B/W,LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B,95.518956,-125.460334,135.0,top
LED13,WS2812B-B/W,LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B,91.091335,-118.798816,112.5,top
LED14,WS2812B-B/W,LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B,89.55,-110.95,90.0,top
LED15,WS2812B-B/W,LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B,91.129604,-103.108796,67.5,top
LED16,WS2812B-B/W,LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B,95.589666,-96.468956,45.0,top
LED17,WS2812B-B/W,LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B,102.251184,-92.041335,22.5,top
